tweet_id,author_id,inbound,created_at,customer_text,response_tweet_id,in_response_to_tweet_id,customer_tweet_id,historical_reply,baseline_intent,baseline_escalate,baseline_escalation_reason
697,115854,True,Tue Oct 31 22:31:23 +0000 2017,@AppleSupport The newest update. I️ made sure to download it yesterday.,699,696.0,697.0,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,software_troubleshooting,False,no high-risk term detected
698,115854,True,Tue Oct 31 22:17:40 +0000 2017,@AppleSupport  https://t.co/NV0yucs0lB,696,700.0,698.0,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,software_troubleshooting,False,no high-risk term detected
702,115855,True,Tue Oct 31 22:11:31 +0000 2017,@AppleSupport Tried resetting my settings .. restarting my phone .. all that,701,703.0,702.0,@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT,software_troubleshooting,False,no high-risk term detected
704,115855,True,Tue Oct 31 21:59:17 +0000 2017,@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB,703,705.0,704.0,@115855 Any steps tried since it started last night?,software_troubleshooting,False,no high-risk term detected
707,115855,True,Tue Oct 31 21:48:51 +0000 2017,@AppleSupport I️ have an iPhone 7 Plus and yes I️ do,705,708.0,707.0,@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,software_troubleshooting,False,no high-risk term detected
709,115855,True,Tue Oct 31 21:34:45 +0000 2017,@AppleSupport I️ need answers because it’s annoying 🙃,708,710.0,709.0,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,software_troubleshooting,False,no high-risk term detected
714,115856,True,Tue Oct 31 22:19:32 +0000 2017,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","712,715",,714.0,"@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",software_troubleshooting,False,no high-risk term detected
717,115857,True,Tue Oct 31 22:13:08 +0000 2017,@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT,716,718.0,717.0,@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,software_troubleshooting,False,no high-risk term detected
719,115857,True,Tue Oct 31 22:01:50 +0000 2017,Tf is wrong with my keyboard @115858,718,,719.0,"@115857 Fill us in on what is happening, then we can help out from there.",general_inquiry,False,no high-risk term detected
721,115859,True,Tue Oct 31 22:18:14 +0000 2017,@AppleSupport are the call centres closed for the night?,720,722.0,721.0,@115859 We've received your DM and will continue there.,software_troubleshooting,False,no high-risk term detected
723,115859,True,Tue Oct 31 22:11:16 +0000 2017,@115858 @AppleSupport hello are all the lines closed for tonight #help,722,,723.0,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,software_troubleshooting,False,no high-risk term detected
725,115860,True,Tue Oct 31 22:16:35 +0000 2017,@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.,"724,726",727.0,725.0,"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT",software_troubleshooting,False,no high-risk term detected
730,115861,True,Tue Oct 31 20:46:35 +0000 2017,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7","729,731",,730.0,"@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",software_troubleshooting,False,no high-risk term detected
733,115863,True,Tue Oct 31 22:16:40 +0000 2017,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,732,,733.0,@115863 Go ahead and send us a DM please. Let us know the country you're in.,software_troubleshooting,False,no high-risk term detected
735,115864,True,Tue Oct 31 22:23:35 +0000 2017,@AppleSupport I have the iPhone 6s Plus and just did the most recent update.,737,734.0,735.0,"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT",software_troubleshooting,False,no high-risk term detected
736,115864,True,Tue Oct 31 22:17:57 +0000 2017,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,734,,736.0,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",software_troubleshooting,False,no high-risk term detected
739,115865,True,Tue Oct 31 22:35:32 +0000 2017,@AppleSupport iOS 11.0.3,741,738.0,739.0,"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update.",software_troubleshooting,False,no high-risk term detected
742,115865,True,Tue Oct 31 22:59:53 +0000 2017,@AppleSupport Okey. Thank you! 🤗,743,741.0,742.0,"@115865 Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",software_troubleshooting,False,no high-risk term detected
740,115865,True,Tue Oct 31 22:14:45 +0000 2017,@AppleSupport iPhone 7 Plus 😊,738,744.0,740.0,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,software_troubleshooting,False,no high-risk term detected
745,115865,True,Tue Oct 31 22:00:34 +0000 2017,@AppleSupport I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport,744,746.0,745.0,@115865 Hi there! What type of device are we working with?,software_troubleshooting,False,no high-risk term detected
747,115865,True,Tue Oct 31 18:08:04 +0000 2017,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,746,,747.0,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,software_troubleshooting,False,no high-risk term detected
749,115866,True,Tue Oct 31 22:06:44 +0000 2017,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,748,,749.0,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,software_troubleshooting,False,no high-risk term detected
751,115867,True,Tue Oct 31 22:08:39 +0000 2017,@AppleSupport ? hello,750,752.0,751.0,@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj,software_troubleshooting,False,no high-risk term detected
754,115868,True,Tue Oct 31 22:01:17 +0000 2017,"@AppleSupport Yes it did, 11.0.3",753,755.0,754.0,"@115868 We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk",software_troubleshooting,False,no high-risk term detected
756,115868,True,Tue Oct 31 20:49:07 +0000 2017,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,755,,756.0,@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,software_troubleshooting,False,no high-risk term detected
758,115869,True,Tue Oct 31 22:10:06 +0000 2017,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,757,,758.0,@115869 We're here to help. Meet us in DM and we can check on available options. https://t.co/GDrqU22YpT,software_troubleshooting,False,no high-risk term detected
760,115870,True,Tue Oct 31 22:03:09 +0000 2017,@AppleSupport I can not find an option to get it there. It was just always there when playing.,759,761.0,760.0,@115870 DM us the specific iOS version you are running currently and we'll continue there. https://t.co/GDrqU22YpT,software_troubleshooting,False,no high-risk term detected
763,115870,True,Tue Oct 31 21:56:55 +0000 2017,@AppleSupport The app is still there. But no longer able to control it from the lockscreen.,761,764.0,763.0,"@115870 Just to confirm, this is only happening with Spotify, correct?",software_troubleshooting,False,no high-risk term detected
765,115870,True,Tue Oct 31 18:20:46 +0000 2017,After update #ios1103 no spotify on my lock screen?@AppleSupport,764,,765.0,@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,software_troubleshooting,False,no high-risk term detected
767,115871,True,Tue Oct 31 22:08:32 +0000 2017,I just need @115858 to do something about the battery life because it sucks ass,766,,767.0,@115871 We want to help you get your battery life back on track. Please DM and we'll look at it together. https://t.co/GDrqU22YpT,repair_warranty,False,no high-risk term detected
1755,116097,True,Tue Oct 31 22:36:21 +0000 2017,"Why does my I️ not work ?! 
@115858 please fix this!!!",1754,,1755.0,@116097 We'd like to look into this with you. Please DM us your current iOS version and your iPhone model. https://t.co/GDrqU22YpT,general_inquiry,False,no high-risk term detected
1757,116098,True,Tue Oct 31 22:28:03 +0000 2017,@AppleSupport I️ just updated it and it’s still coming up https://t.co/22RZsQyTbh,1756,1758.0,1757.0,@116098 Let's dig into this further with you. DM us and we'll continue there.,software_troubleshooting,False,no high-risk term detected
1759,116098,True,Tue Oct 31 18:17:27 +0000 2017,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody https://t.co/urzAfSZL5z,1758,,1759.0,"@116098 We definitely understand your concern. Please backup your iPhone, update and let us know the result: https://t.co/ahjigcvFRG",software_troubleshooting,False,no high-risk term detected
1761,116099,True,Tue Oct 31 22:33:01 +0000 2017,iOS 11 is killing my battery @115858. Fix it.,1760,,1761.0,@116099 We're here to help. Which exact iOS version is your device running? This info can be found under Settings &gt; General &gt; About.,software_troubleshooting,False,no high-risk term detected
1763,116100,True,Tue Oct 31 22:37:31 +0000 2017,"@AppleSupport Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",1765,1762.0,1763.0,@116100 Try contacting our iTunes Store team here for more help: https://t.co/SDIe7UiyJN,software_troubleshooting,False,no high-risk term detected
1764,116100,True,Tue Oct 31 22:29:29 +0000 2017,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",1762,,1764.0,@116100 This article should help with that: https://t.co/usOJWy6ChP,account_access,False,no high-risk term detected
1768,116101,True,Tue Oct 31 22:16:22 +0000 2017,"@AppleSupport it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone",1767,1769.0,1768.0,@116101 Thanks for clarifying. Let's meet in DM so we can do more in-depth on this. https://t.co/GDrqU22YpT,account_access,False,no high-risk term detected
1770,116101,True,Tue Oct 31 22:07:33 +0000 2017,@AppleSupport why is my home sharing not working and how do i fix it,1769,,1770.0,@116101 We're happy to help. Has Home Sharing worked with these devices before?,software_troubleshooting,False,no high-risk term detected
1772,116102,True,Tue Oct 31 22:39:21 +0000 2017,"@AppleSupport iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x",1774,1771.0,1772.0,"@116102 To make sure, is iOS 11.1 showing here: Settings &gt; General &gt; About &gt; Version? Please DM us the answer here: https://t.co/GDrqU22YpT",software_troubleshooting,False,no high-risk term detected
1775,116103,True,Tue Oct 31 23:04:13 +0000 2017,@AppleSupport @116102 Battery life just got worst.,1777,1774.0,1775.0,"@116103 We'll make sure to get this straightened out. DM us, and we'll see you there. https://t.co/GDrqU22YpT",software_troubleshooting,False,no high-risk term detected
1773,116102,True,Tue Oct 31 22:23:40 +0000 2017,"@AppleSupport I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply.",1771,1778.0,1773.0,@116102 Which model do you have and is iOS 11.1 installed on it? Any steps tried so far?,software_troubleshooting,False,no high-risk term detected
1779,116102,True,Tue Oct 31 22:04:38 +0000 2017,@115858 my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,1778,,1779.0,@116102 We want you to be able to make calls on the iPhone. What exactly is going on with the Phone app?,software_troubleshooting,False,no high-risk term detected
1781,116104,True,Tue Oct 31 22:27:15 +0000 2017,@AppleSupport why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,1780,,1781.0,@116104 Let us look into that. What device and OS version are you using?,software_troubleshooting,False,no high-risk term detected
